         24506273 function calls (12656933 primitive calls) in 23.992 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45/43    0.001    0.000    0.007    0.000 /usr/lib/python3.13/site-packages/sage/categories/homset.py:611(__init__)
     4100    0.002    0.000    0.007    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:214(<genexpr>)
        3    0.000    0.000    0.007    0.002 /home/sergi/projects/postquantic-pot-code/src/context/context.py:244(from_digest)
        3    0.000    0.000    0.007    0.002 /home/sergi/projects/postquantic-pot-code/src/context/context.py:250(bits_to_vector)
        1    0.006    0.006    0.006    0.006 /home/sergi/projects/postquantic-pot-code/src/falcon/ntrugen.py:160(xgcd)
    17/16    0.000    0.000    0.006    0.000 /usr/lib/python3.13/site-packages/sage/categories/homset.py:1268(__init__)
2611/2559    0.001    0.000    0.006    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:1798(is_subcategory)
       16    0.006    0.000    0.006    0.000 {built-in method sage.misc.randstate.set_random_seed}
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_ring_constructor.py:909(polynomial_default_category)
       46    0.006    0.000    0.006    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/common.py:38(sqnorm)
     1281    0.002    0.000    0.006    0.000 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring_element.py:266(_add_)
      446    0.000    0.000    0.006    0.000 /usr/lib/python3.13/site-packages/pycparser/c_lexer.py:75(token)
        2    0.000    0.000    0.006    0.003 /usr/lib/python3.13/site-packages/sage/matrix/matrix_space.py:788(__init__)
3390/3155    0.002    0.000    0.006    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.13/site-packages/sage/modules/free_module.py:2064(_Hom_)
      446    0.001    0.000    0.006    0.000 /usr/lib/python3.13/site-packages/pycparser/ply/lex.py:305(token)
      6/3    0.000    0.000    0.006    0.002 /usr/lib/python3.13/site-packages/sage/categories/covariant_functorial_construction.py:295(__classcall__)
      6/3    0.000    0.000    0.005    0.002 /usr/lib/python3.13/site-packages/sage/categories/covariant_functorial_construction.py:421(__init__)
      242    0.001    0.000    0.005    0.000 {built-in method sage.categories.category_cy_helper._sort_uniq}
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.13/site-packages/numpy/__init__.py:326(__getattr__)
       70    0.005    0.000    0.005    0.000 {built-in method numpy.array}
      144    0.001    0.000    0.005    0.000 /usr/lib/python3.13/site-packages/sage/categories/modules_with_basis.py:1162(term)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.13/site-packages/numpy/random/__init__.py:1(<module>)
    17245    0.003    0.000    0.005    0.000 /usr/lib/python3.13/site-packages/cffi/api.py:180(_typeof)
    81/80    0.002    0.000    0.005    0.000 {built-in method sage.categories.category_cy_helper.join_as_tuple}
      4/2    0.000    0.000    0.005    0.002 /usr/lib/python3.13/site-packages/sage/categories/covariant_functorial_construction.py:475(super_categories)
